rank,manga_name,autors,chapters_published,status,reading_type
1,One Piece,"Oda, Eiichiro",1148,Ongoing,Right to Left
2,Dragon Ball,Akira Toriyama,520,Completed,Right to Left
3,Dragon Ball Super,TORIYAMA Akira,104,Ongoing,Right to Left
4,Black Clover,TABATA Yuuki,380,Ongoing,Right to Left
5,Onepunch-Man,One,211,Ongoing,Right to Left
6,Solo Leveling,Jang Sung-lak,200,Completed,Left to Right
7,Fairy Tail 100 Years Quest,"Mashima, Hiro",184,Ongoing,Right to Left
8,Naruto,"Kishimoto, Masashi (Story & Art)",700,Completed,Right to Left
9,Bleach,"Kubo, Tite (Story & Art)",687,Completed,Right to Left
10,Fairy Tail,"Mashima, Hiro (Story & Art)",545,Completed,Right to Left
11,Boruto: Naruto Next Generations,KODACHI Ukyo,80,Ongoing,Right to Left
12,My Wife is a Demon Queen,Rong Rong,460,Ongoing,Right to Left
13,Domestic na Kanojo,Sasuga Kei,277,Completed,Right to Left
14,Dr. Stone,Inagaki Riichiro,232h,Ongoing,Right to Left
15,,No Sensei,Published.,,
16,Shingeki no Kyojin,ISAYAMA Hajime,139i,Ongoing,Right to Left
17,Death Note,"Ohba Tsugumi, Asami Yuuko",112,Completed,Right to Left
18,Shokugeki no Soma,TSUKUDA Yuuto,315,Ongoing,Right to Left
19,Satanofani,Yamada Yoshinobu,152,Ongoing,Right to Left
20,Arigatights,Gggrande,45,Completed,Right to Left
21,Samurai 8,Masashi Kishimoto,43,Ongoing,Right to Left
22,Berserk,Kentarou Miura,378,Ongoing,Right to Left
23,The Gamer,Sung San-Young,524,Ongoing,Left to Right
24,Kimetsu no Yaiba,"Gotouge, Koyoharu",206,Ongoing,Right to Left
25,"Kanojo, Okarishimasu",Miyajima Reiji,374,Ongoing,Right to Left
26,Tate no Yuusha no Nariagari,ANEKO Yusagi,115,Ongoing,Right to Left
27,Tensei Shitara Slime Datta Ken,Fuse,129,Ongoing,Right to Left
28,Nagasarete Airantou,"Fujishiro, Takeshi (Story & Art)",214,Ongoing,Right to Left
29,My Hero Academia,Horikoshi Kouhei,430f,Ongoing,Right to Left
30,"Eden""s Zero","Mashima, Hiro",293,Ongoing,Right to Left
31,Mairimashita! Iruma-kun,Nishi Osamu,393,Ongoing,Right to Left
32,Iron Ladies,"Iron Scales Group, Bai Chen Guang",776,Ongoing,Manhua
33,Go-Toubun no Hanayome,Haruba Negi,123,Ongoing,Right to Left
34,Hero? I Quit A Long Time Ago,Novelist SF,488,Ongoing,Right to Left
35,Kingdom,Hara Yasuhisa,834,Ongoing,Right to Left
36,Fire Brigade of Flames,OOKUBO Atsushi,304,Ongoing,Right to Left
37,Somali to Mori no Kami-sama,Gureishi Yako,34,Ongoing,Right to Left
38,Shuumatsu no Valkyrie,"Fukui Takumi, UMEMURA Shinya",102,Ongoing,Right to Left
39,Kill Me Baby,Kazuho,132e,Ongoing,Right to Left
40,Nanatsu no Taizai,SUZUKI Nakaba,347,Ongoing,Right to Left
41,Arifureta Shokugyou de Sekai Saikyou,Hakumai Ryou,85b,Ongoing,Right to Left
42,Death March kara Hajimaru Isekai Kyousoukyoku,Ainana Hiro,123,Ongoing,Right to Left
43,Berserk of Gluttony,Isshiki Ichika,68,Ongoing,Right to Left
44,Battle Through The Heavens,"Ren Xiang, JOE, Tian Can Tudou (天蚕土豆)",473,Ongoing,Manhua
45,Goblin Slayer,KAGYU Kumo,98,Ongoing,Right to Left
46,Dragon Ball SD,Ooishi Naho (Story & Art),44,Ongoing,Right to Left
47,My Friend Is a Magical Girl,??,1,Ongoing,Right to Left
48,Tales of Demons and Gods,Mad Snail,496e,Ongoing,Manhua
49,Darwin's Game,FLIPFLOPs,121,Ongoing,Right to Left
50,Hajimete no Gal,Ueno Meguru,195,Ongoing,Right to Left
51,Koi To Uso,Tsumugi Musawo,287b,Ongoing,Right to Left
52,Diamond no Ace Act II,Terajima Yuuji,318,Ongoing,Right to Left
53,DARLING in the FRANXX,Yabuki Kentarou,60,Ongoing,Right to Left
54,Komi-san wa Komyushou Desu,Oda Tomohito,500e,Ongoing,Right to Left
55,Kengan Omega,SANDROVICH Yabako,305,Ongoing,Right to Left
56,Kaguya-sama wa Kokurasetai - Tensai-tachi no Renai Zunousen,Akasaka Aka,281a,Ongoing,Right to Left
57,Bokutachi wa Benkyou ga Dekinai,Tsutsui Taishi,187e,Ongoing,Right to Left
58,Star Martial God Technique,Mad Snail,816,Ongoing,Manhua
59,Haikyu!!,FURUDATE Haruichi,402g,Completed,Right to Left
