rank,manga_name,autors,chapters_published,status,reading_type
1,Shingeki no Kyojin,ISAYAMA Hajime,139i,Ongoing,Right to Left
2,Satanofani,Yamada Yoshinobu,152,Ongoing,Right to Left
3,Berserk,Kentarou Miura,378,Ongoing,Right to Left
4,Chainsaw Man,Tatsuki Fujimoto,202,Ongoing,Manga
5,"To You, The Immortal",Ooima Yoshitoki,200c,Ongoing,Right to Left
6,Kaifuku Jutsushi no Yarinaoshi,Tsukiyo Rui,70b,Ongoing,Right to Left
7,Moon-led Journey Across Another World,AZUMI Kei,104,Ongoing,Right to Left
8,Strongest Abandoned Son,Goose Five,172,Ongoing,Left to Right
9,Rikudo,MATSUBARA Toshimitsu,241,Ongoing,Right to Left
10,Dungeon Seeker,Sakamoto 666,33,Ongoing,Right to Left
11,Full Metal Alchemist,Arakawa Hiromu,108,Ongoing,Right to Left
12,Marry Grave,Yamaji Hidenori,52,Ongoing,Right to Left
13,Tsuyokute New Saga,ABE Masayuki,107b,Completed,Right to Left
14,Rooftop Sword Master,KIM Ui-Kwon,102,Ongoing,Left to Right
15,Gantz:E,Oku Hiroya,76,Ongoing,Right to Left
16,Deadman Wonderland,KATAOKA Jinsei,58,Completed,Right to Left
17,Akame ga Kiru! Zero,Takahiro,55,Ongoing,Right to Left
18,Alma,Mito Shinji,19,Ongoing,Right to Left
19,Attack On Titan - Before The Fall,ISAYAMA Hajime,60,Ongoing,Right to Left
20,Hunter x Hunter Special,TOGASHI Yoshihiro,2,Ongoing,Right to Left
21,Killing Morph,Nokuto Koike,36,Ongoing,Right to Left
22,Akame ga Kiru!,Takahiro,78,Completed,Right to Left
23,Tokyo Dragon,Asahi Tsukishita,49,Ongoing,Right to Left
24,Otome Sensou,OHNISHI Kouichi,60,Ongoing,Right to Left
25,Fire Punch,Fujimoto Tatsuki,83,Ongoing,Right to Left
26,Battle Through the Heavens Prequel - The Legend of Yao Lao,Tian Can Tu Dou,26,Ongoing,Manhua
27,Azumi,KOYAMA Yuu,349,Completed,Right to Left
28,Parasite,Suh Woo-Suk,3,Ongoing,Right to Left
29,ODDEYE,Kenaz,28,Ongoing,Left to Right
30,Mirai Nikki,ESUNO Sakae,59,Completed,Right to Left
31,Toujuushi,KAKIZAKI Masasumi,22,Completed,Right to Left
32,Apocalypse no Toride,KURAISHI Yuu,46,Ongoing,Right to Left
33,Over Steam,YOON Dong Hyuk,88,Ongoing,Left to Right
34,Terra Formars,SAGUSA Yu,226,Ongoing,Right to Left
35,Gyo,ITOU Junji,20,Completed,Right to Left
36,GANGSTA:CURSED,Kohsuke,2,Ongoing,Right to Left
37,Saikyou Mahoushi no Inton Keikaku,Miyuki Ruria,41,Ongoing,Right to Left
38,Bitter Virgin,Kusunoki Kei,32,Completed,Right to Left
39,Ookami no Kuchi: Wolfsmund,KUJI Mitsuhisa,22,Ongoing,Right to Left
40,Tobaku Datenroku Kaiji,FUKUMOTO Nobuyuki,131,Ongoing,Right to Left
41,Kaiji,FUKUMOTO Nobuyuki,135,Ongoing,Right to Left
42,Tsubasa Reservoir Chronicles,CLAMP,232,Ongoing,Right to Left
43,Tale of Eun Aran,Song Eui-sup,85,Ongoing,Left to Right
